AuthorID,Name,GenderID,Female,Male,CountryOfOriginID,CountryOfResidence,DateOfDeath,DateOfBirth,Race,PenName
235,Joshua W. Cotter,Male,0,1,NA,,NA,NA,White,NA
236,Liz Suburbia,Female,1,0,USA,USA,NA,NA,White,NA
237,Sophie Goldstein,Female,1,0,USA,USA,NA,NA,White,NA
238,Anders Nilsen,Male,0,1,USA,USA,NA,1/1/73,White,NA
239,Debbie Drechsler,Female,1,0,USA,USA,NA,1/1/53,White,NA
241,Vincent Locke,Male,0,1,USA,USA,NA,NA,White,NA
242,Boleslav William Felix Robert Bill Sienkiewicz,Male,0,1,USA,USA,NA,5/3/58,White,NA
243,Jeffrey Brown,Male,0,1,USA,USA,NA,7/1/75,White,NA
244,Jessica Abel,Female,1,0,USA,USA,NA,1/1/69,White,NA
246,Miriam Katin,Female,1,0,Hungary,Israel,NA,NA,White,NA
253,Glenn Barr,Male,0,1,USA,USA,NA,NA,White,NA
255,Kathryn Moira Beaton,Female,1,0,Canada,Canada,NA,9/8/83,White,NA
256,Gabrielle Bell,Male,0,1,UK,USA,NA,3/24/76,White,NA
257,Vera Brosgol,Female,1,0,Russia,USA,NA,8/1/84,White,NA
258,Vanessa Davis,Female,1,0,USA,USA,NA,10/14/78,White,NA
260,Camilla D'Errico,Female,1,0,Canada,Canada,NA,9/30/80,White,NA
262,Joyce Farmer,Female,1,0,USA,USA,NA,1/1/38,White,NA
263,Lucy Knisley,Female,1,0,USA,USA,NA,1/11/85,White,NA
264,Aline Kominsky-Crumb,Female,1,0,USA,USA,NA,8/1/48,White,NA
265,Sarah Leavitt,Female,1,0,NA,Canada,NA,NA,White,NA
267,Brittney Williams,Female,1,0,NA,,NA,NA,African American,NA
270,Natacha Bustos,Female,1,0,Spain,,NA,1/1/81,Unknown,NA
272,Jim Calafiore,Male,0,1,USA,USA,NA,NA,Unknown,NA
278,Jim Mooney,Male,0,1,USA,USA,3/30/08,8/13/19,Native American,NA
279,Lee Elias,Male,0,1,UK,USA,4/8/98,5/21/20,White,NA
280,Herb Trimpe,Male,0,1,USA,USA,4/13/15,5/26/39,White,NA
281,Judith Vanistendael,Female,1,0,Belgium,Belgium,NA,1/1/74,White,NA
284,Una Una,Female,1,0,UK,UK,NA,NA,White,NA
287,Harvey M. Tolibao,Male,0,1,Philippines,Philippines,NA,NA,Asian,NA
290,Bret Blevins,Male,0,1,USA,USA,NA,8/13/60,White,NA
291,Richard Howell,Male,0,1,USA,USA,NA,11/16/55,White,NA
292,Steve Leialoha,Male,0,1,USA,USA,NA,12/27/52,White,NA
293,Mark Badger,Male,0,1,USA,USA,NA,NA,White,NA
296,I.N.J. Culbard,Male,0,1,UK,UK,NA,NA,White,NA
299,LeUyen Pham,Female,1,0,Vietnam,USA,NA,NA,Asian,NA
300,Alex Puvilland,Male,0,1,France,USA,NA,NA,White,NA
301,Sam Glanzman,Male,0,1,USA,USA,7/12/17,12/5/24,White,NA
303,Tommy Patterson,Male,0,1,USA,USA,NA,NA,White,NA
305,Paul Karasik,Male,0,1,USA,USA,NA,1/1/56,White,NA
306,Larry Gonick,Male,0,1,USA,USA,NA,8/24/46,White,NA
307,David Lapham,Male,0,1,USA,USA,NA,1/1/70,White,NA
310,Noelle Stevenson,Female,1,0,USA,USA,NA,12/31/91,White,NA
311,Jason Shiga,Male,0,1,USA,USA,NA,1/1/76,Asian,NA
315,Emil Ferris,Female,1,0,USA,USA,NA,1/1/62,White,NA
